listing_id,title,company,location,rating,pay_low,pay_median,pay_high,pay_currency,easy_apply,industry,company_size,job_source,description,link
1010122605389,(Senior) Technical Product Manager (w/m/d) - B2B Saas I Berlin (hybrid),Packmatic GmbH,Deutschland,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-technical-product-manager-wmd-b2b-saas-i-berlin-hybrid-packmatic-JV_KO0,61_KE62,71.htm?jl=1010122605389"
1009947841585,Senior Software Engineer (m/f/d) Data,Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-software-engineer-mfd-data-axel-springer-JV_IC2622109_KO0,33_KE34,47.htm?jl=1009947841585"
1009942797363,Senior Software Engineer (m/f/d),Axel Springer National Media & Tech GmbH & Co. KG,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-software-engineer-mfd-axel-springer-JV_IC2622109_KO0,28_KE29,42.htm?jl=1009942797363"
1010093129311,Senior Product Owner – NetSuite,Lovehoney Group,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-product-owner-netsuite-lovehoney-group-JV_IC2622109_KO0,29_KE30,45.htm?jl=1010093129311"
1010033237240,Senior Client Delivery Lead (m/f/d) - Payments,Kraken,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/senior-client-delivery-lead-mfd-payments-kraken-tech-JV_IC2622109_KO0,40_KE41,52.htm?jl=1010033237240"
1010106615792,"PostDoc in Electronic Structure & Magnetism in Quantum Materials, France",ILL,Deutschland,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/postdoc-in-electronic-structure-magnetism-in-quantum-materials-france-ill-JV_KO0,69_KE70,73.htm?jl=1010106615792"
1010045025230,Legal Engineer (Libra - Legal AI Assistant) (m/f/d),Libra Technology GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/legal-engineer-libra-legal-ai-assistant-mfd-wolters-kluwer-JV_IC2622109_KO0,43_KE44,58.htm?jl=1010045025230"
1010007109924,Senior SecOps Engineer (Libra - Legal AI Assistant) (m/f/d),Libra Technology GmbH,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/senior-secops-engineer-libra-legal-ai-assistant-mfd-wolters-kluwer-JV_IC2622109_KO0,51_KE52,66.htm?jl=1010007109924"
1010082485062,"Account Executive SMB (Fluent in German) (Position located in Berlin, Germany)",KnowBe4,Berlin,,,,,EUR,True,,,,,"https://www.glassdoor.de/job-listing/account-executive-smb-fluent-in-german-position-located-in-berlin-germany-knowbe4-JV_IC2622109_KO0,73_KE74,81.htm?jl=1010082485062"
1010029718367,AI Engineer Team Lead (all genders),EXXETA,Berlin,,,,,EUR,False,,,,,"https://www.glassdoor.de/job-listing/ai-engineer-team-lead-all-genders-exxeta-JV_IC2622109_KO0,33_KE34,40.htm?jl=1010029718367"
